Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-10-28,ETHUSD,184.34,189.91,180.8,181.98,30477.19,5606702.47
2019-10-27,ETHUSD,179.93,189.22,176.84,184.34,20108.67,3689282.86
2019-10-26,ETHUSD,181.51,198.97,173.62,179.93,61819.68,11561442.06
2019-10-25,ETHUSD,160.66,187.78,160.42,181.51,55616.45,9860756.17
2019-10-24,ETHUSD,162.49,164,158.85,160.66,30456.7,4899893.9
2019-10-23,ETHUSD,171.29,171.53,153.21,162.49,58624.3,9399731.66
2019-10-22,ETHUSD,174.24,175.5,170.47,171.29,12238.9,2123342.55
2019-10-21,ETHUSD,175.62,178.19,171.72,174.24,29318.87,5119804.04
2019-10-20,ETHUSD,172.08,176.8,169.23,175.62,13462.25,2321350.37
2019-10-19,ETHUSD,173.21,175.06,169.66,172.08,12433.58,2147849.15
2019-10-18,ETHUSD,177.51,177.51,168.34,173.21,28940.88,4988345.65
2019-10-17,ETHUSD,174.75,179.17,172.78,177.51,20128.54,3555016.14
2019-10-16,ETHUSD,180.67,181.2,171.39,174.75,23464.72,4132261.89
2019-10-15,ETHUSD,186.74,188.52,177.27,180.67,38920.98,7080556.55
2019-10-14,ETHUSD,181.18,187.89,180.67,186.74,18627.04,3433580.35
2019-10-13,ETHUSD,180.02,184.85,178.34,181.18,13778.97,2512237.64
2019-10-12,ETHUSD,180.84,184.87,177.23,180.02,14326.34,2601987.45
2019-10-11,ETHUSD,191.64,197.9,178.91,180.84,57502.9,10668886.91
2019-10-10,ETHUSD,193.18,194.81,187.3,191.64,20692.22,3955549.44
2019-10-09,ETHUSD,180.73,196,179.14,193.18,56852.89,10696782.92
2019-10-08,ETHUSD,180.23,185.3,176.88,180.73,22906.33,4144405.36
2019-10-07,ETHUSD,170.12,182.68,168.71,180.23,32314.81,5715385.86
2019-10-06,ETHUSD,176.63,177.18,167.08,170.12,23700.64,4080726.96
2019-10-05,ETHUSD,176.49,177.03,172,176.63,10735.53,1871810.04
2019-10-04,ETHUSD,175.02,179.51,170.9,176.49,23577.6,4144997.7
2019-10-03,ETHUSD,180.86,181.22,169.54,175.02,24580.61,4319619.45
2019-10-02,ETHUSD,176.2,181.9,174.27,180.86,22928.15,4069979.6
2019-10-01,ETHUSD,181.34,185.82,173.92,176.2,47029.28,8484202.75
2019-09-30,ETHUSD,169.42,181.8,165.2,181.34,55631.95,9653824.81
2019-09-29,ETHUSD,173.8,174.92,164.3,169.42,20815.47,3515914.74
2019-09-28,ETHUSD,173.79,175.88,168.5,173.8,25478.76,4419074.89
2019-09-27,ETHUSD,165.71,177.36,161.05,173.79,61713.5,10322569.63
2019-09-26,ETHUSD,169.97,171,152.26,165.71,77921.92,12698791.72
2019-09-25,ETHUSD,166.9,175.06,162.27,169.97,48531.67,8155792.76
2019-09-24,ETHUSD,201.04,202.73,152.71,166.9,176405.1,31088411.96
2019-09-23,ETHUSD,211.17,211.71,198.34,201.04,41939.03,8653985.57
2019-09-22,ETHUSD,214.77,215.32,206.06,211.17,32596.66,6859446.46
